region,ownership,brand,2014,2015,2016,2017,2018,2019,2020,2021
USA,Geely,Volvo Cars,28045,26018,24321,27918,21538,24241,20022,15090
USA,Geely,Polestar,0,0,0,0,0,0,134,2418
USA,Geely,Lotus,140,80,168,159,168,192,126,345
USA,Mitsubishi,Mitsubishi,33521,39321,36624,35117,27618,26966,19136,22741
USA,Subaru,Subaru,214218,255189,253641,281507,293457,256802,214029,214484
USA,Tata,Jaguar,15773,14466,21227,20648,10859,8184,4625,2771
USA,Aston Martin,Aston Martin,1160,1020,1032,684,984,1164,1632,1350
India,Volkswagan,Volkswagan,44205,43162,47323,46998,35816,31116,13812,16064
India,Volkswagan,Audi,10851,11192,7720,7876,6463,4594,1693,3293
India,Volkswagan,Skoda,15187,15335,13318,16605,14639,13568,9937,9764
India,Volkswagan,Porsche,94,85,102,198,141,196,300,474
India,Toyota,Toyota,56238,63252,52581,42667,51399,49303,24896,28786
India,Nissan and Renault,Nissan,13450,10634,9921,9912,6038,6561,6609,28582
India,Nissan and Renault,Renault,4876,20945,108540,92777,66815,53438,37927,31656
India,Nissan and Renault,Datsun,14252,8506,31073,34369,28617,14085,6711,4075
India,GM,Chevrolet,34286,19846,13869,4051,3981,3014,1975,2186
India,Hyundai and Kia,Hyundai,409702,19846,406346,420118,427271,338819,243405,252447
India,Ford,Ford,25814,433833,34213,36155,39587,26860,13134,6374
India,Honda,Honda,156097,35388,135196,126246,130255,110854,63789,81095
India,FCA,Fiat,11457,7917,6655,2698,1743,1302,972,1029
India,Suzuki,Suzuki,961130,1065928,1073329,1203282,1302477,1096751,911056,959606
India,Daimler Group,Mercedes-Benz,10201,13502,13231,15330,15538,13786,7893,11846
India,BMW,BMW,6200,6890,7861,9379,11105,9641,6604,8238
India,Tata,Tata,100301,0,126410,131148,138782,82114,107058,153634
India,Mahindra,Mahindra & Mahindra,36328,36134,43789,53663,58416,219682,136500,201447
India,Hindustan Motors,Hindustan Motors,573,0,0,0,0,0,0,0
Japan,Volkswagan,Audi,31413,29414,28502,28336,26473,24222,22304,22535
Japan,BMW,BMW,45645,46229,50571,52527,50982,46814,35712,35905
Japan,BMW,MINI,17596,21083,24548,25427,25984,23813,20196,18211
Japan,Daihatsu,Daihatsu,708179,610396,586972,630856,646781,658849,592346,572401
Japan,Hino,Hino,57422,61173,63310,67778,70811,69791,60051,60010
Japan,Honda,Honda,848753,726928,707044,724834,747226,722075,619132,579771
Japan,Isuzu,Isuzu,74556,74730,81128,80984,76747,81442,66748,63061
Japan,FCA,Jeep,6692,7132,9392,10102,11438,13360,13588,14294
Japan,Toyota,Lexus,44246,48231,52150,45605,55096,62394,49059,51118
Japan,Mazda,Mazda,224359,245437,201404,209689,220743,203580,177087,157311
Japan,Daimler Group,Mercedes-Benz,60839,65162,67386,68221,67554,66553,57041,51772
Japan,Mitsubishi,Mitsubishi,125083,102009,85720,91621,104591,103486,70281,77674
Japan,Mitsubishi,Mitsubishi Fuso,42509,44230,45210,44134,42348,41272,38103,32106
Japan,Nissan and Renault,Nissan,670315,589099,534415,591000,616033,568743,468544,451671
Japan,Subaru,Subaru,169552,162254,155779,176737,148453,131261,105540,101312
Japan,Suzuki,Suzuki,787361,636360,622866,665871,714594,696014,630842,608379
Japan,Toyota,Toyota,1509149,1449067,1528173,1587062,1508647,1547173,1454524,1424380
Japan,UD Trucks,UD Trucks,11072,11001,10529,10858,9974,10388,9713,9340
Japan,Geely,Volvo,13520,13786,14914,16120,17805,19007,16016,16997
Japan,Volkswagan,Volkswagan,67438,54766,47234,49040,51961,46794,36576,35215
China,Volkswagan,Audi,578932,570889,591554,549117,620300,620001,65580,643500
China,SAIC,Baojun,612883,615008,688390,1021307,879077,604204,428470,221897
China,BMW,BMW,417689,463736,409878,384849,465044,544500,611981,652000
China,GM,Buick,917017,1065452,1229804,1223517,1057452,871506,926328,828.636
China,BYD,BYD,437725,452488,494116,403469,507127,451246,411241,730093
China,GM,Cadillac,37898,53456,113234,172832,228043,212506,230010,233119
China,Changan,Changan,710987,937678,1149820,1055096,851361,787878,864927,1000799
China,Chery,Chery,455379,408733,505452,455718,443702,451139,63658,708728
China,FCA,Chevrolet,767333,636890,538907,603137,673376,516087,313134,269818
China,Dongfeng,Dongfeng,50981,53456,58796,639248,443435,377349,280465,392714
China,Ford,Ford,77506,115124,1304533,839815,383485,232555,283515,248202
China,Toyota,GAC,116657,190715,371356,508209,536267,388364,360274,448251
China,Geely,Geely,425647,532187,778908,1251656,1387258,1220832,1134433,1072405
China,Great Wall Motors,Haval,429890,662451,938678,849554,766062,769454,750228,770008
China,Honda,Honda,772763,980894,1196473,1417802,1452441,1553086,1638430,1531486
China,Hyundai and Kia,Hyundai,1120126,1029675,1142127,796586,790746,685738,443186,360565
China,Hyundai and Kia,Kia,646478,616198,650692,364022,390109,283307,249256,153491
China,Geely,Lynk & Co,117826,127569,123890,126012,120414,128066,175456,221740
China,Mazda,Mazda,204481,226201,269390,318588,274735,224977,217074,169643
China,Daimler Group,Mercedes-Benz,129389,255493,326817,445687,513108,595486,640738,598204
China,Nissan and Renault,Nissan,1078239,1097248,1109548,1118085,1177705,1174030,1121061,1000292
China,SAIC,SAIC MG,126826,177826,152782,134786,257555,269751,297317,456243
China,SAIC,SAIC Roewe,298177,309187,359186,386662,479156,426128,378841,369852
China,Toyota,Toyota,1020987,1160087,1113467,1137920,1295002,1409198,1537296,1656053
China,Volkswagan,Volkswagan,1678567,2657890,2879012,3139120,3129743,3100498,2609266,2164946
China,Geely,Volvo,64578,79814,88792,90417,107598,131946,148916,140204
China,Wuling,Wuling,423457,587907,667629,311266,476539,374878,406746,818041
